country,population,continent_name
Mongolia,3170208,Asia
Moldova,2706049,Europe
Montenegro,622227,Europe
Morocco,36029138,Africa
Mozambique,29495962,Africa
Oman,4829483,Asia
Namibia,2448255,Africa
Nauru,12704,Oceania
Nepal,28087871,Asia
Netherlands,17231624,Europe
Curaçao,159800,North America
Aruba,105845,North America
Sint Maarten (Netherlands),40654,North America
New Caledonia,284060,Oceania
Vanuatu,292680,Oceania
New Zealand,4841000,Oceania
Nicaragua,6465513,North America
Niger,22442948,Africa
Nigeria,195874740,Africa
Norway,5311916,Europe
Northern Mariana Islands,56882,Oceania
Micronesia,112640,Oceania
Marshall Islands,58413,Oceania
Palau,17907,Oceania
Pakistan,212215030,Asia
Panama,4176873,North America
Papua New Guinea,8606316,Oceania
Paraguay,6956071,South America
Peru,31989256,South America
Philippines,106651922,Asia
Poland,37974750,Europe
Portugal,10283822,Europe
Guinea-Bissau,1874309,Africa
Timor-Leste,1267972,Asia
Puerto Rico,3195153,North America
Qatar,2781677,Asia
Romania,19466145,Europe
Russia,144478050,Europe
Rwanda,12301939,Africa
Saint Kitts and Nevis,52441,North America
Saint Lucia,181889,North America
Saint Martin,37264,North America
Saint Vincent and the Grenadines,110210,North America
San Marino,33785,Europe
Sao Tome and Principe,211028,Africa
Saudi Arabia,33699947,Asia
Senegal,15854360,Africa
Serbia,6982604,Europe
Seychelles,96762,Africa
Sierra Leone,7650154,Africa
Singapore,5638676,Asia
Slovakia (Slovak Republic),5446771,Europe
Vietnam,95540395,Asia
Slovenia,2073894,Europe
Somalia,15008154,Africa
South Africa,57779622,Africa
Zimbabwe,14439018,Africa
Spain,46796540,Europe
South Sudan,10975920,Africa
Sudan,41801533,Africa
Suriname,575991,South America
Swaziland,1136191,Africa
Sweden,10175214,Europe
Switzerland,8513227,Europe
Syrian Arab Republic,16906283,Asia
Tajikistan,9100837,Asia
Thailand,69428524,Asia
Togo,7889094,Africa
Tonga,103197,Oceania
Trinidad and Tobago,1389858,North America
United Arab Emirates,9630959,Asia
Tunisia,11565204,Africa
Turkey,82319724,Europe
Turkmenistan,5850908,Asia
Turks and Caicos Islands,37665,North America
Tuvalu,11508,Oceania
Uganda,42723139,Africa
Ukraine,44622516,Europe
Macedonia,2082958,Europe
Egypt,98423595,Africa
United Kingdom,66460344,Europe
Isle of Man,84077,Europe
Tanzania,56318348,Africa
USA,326687501,North America
United States Virgin Islands,106977,North America
Burkina Faso,19751535,Africa
Uruguay,3449299,South America
Uzbekistan,32955400,Asia
Venezuela,28870195,South America
Samoa,196130,Oceania
Yemen,28498687,Asia
Zambia,17351822,Africa
